Respondent,Gender,BrandPreference
1,Male,Brand 3
2,Female,Brand 3
3,Male,Brand 3
4,Male,Brand 1
5,Male,Brand 1
6,Female,Brand 2
7,Male,Brand 2
8,Female,Brand 2
9,Male,Brand 1
10,Female,Brand 3
11,Male,Brand 3
12,Male,Brand 2
13,Female,Brand 3
14,Male,Brand 3
15,Female,Brand 3
16,Male,Brand 2
17,Female,Brand 3
18,Male,Brand 1
19,Male,Brand 3
20,Male,Brand 2
21,Male,Brand 1
22,Male,Brand 2
23,Male,Brand 1
24,Male,Brand 3
25,Female,Brand 2
26,Male,Brand 3
27,Male,Brand 1
28,Female,Brand 3
29,Male,Brand 2
30,Female,Brand 1
31,Male,Brand 1
32,Male,Brand 1
33,Female,Brand 1
34,Male,Brand 1
35,Male,Brand 3
36,Female,Brand 1
37,Male,Brand 1
38,Female,Brand 3
39,Male,Brand 3
40,Male,Brand 2
41,Female,Brand 1
42,Male,Brand 2
43,Female,Brand 3
44,Male,Brand 1
45,Male,Brand 1
46,Male,Brand 2
47,Female,Brand 3
48,Male,Brand 3
49,Male,Brand 1
50,Female,Brand 3
51,Female,Brand 2
52,Male,Brand 2
53,Female,Brand 2
54,Female,Brand 3
55,Male,Brand 1
56,Female,Brand 1
57,Male,Brand 3
58,Female,Brand 1
59,Male,Brand 2
60,Male,Brand 2
61,Male,Brand 1
62,Male,Brand 1
63,Male,Brand 1
64,Female,Brand 3
65,Female,Brand 3
66,Male,Brand 1
67,Male,Brand 2
68,Female,Brand 1
69,Male,Brand 3
70,Female,Brand 3
71,Female,Brand 2
72,Male,Brand 3
73,Male,Brand 3
74,Male,Brand 1
75,Female,Brand 3
76,Female,Brand 3
77,Male,Brand 2
78,Female,Brand 3
79,Female,Brand 3
80,Male,Brand 2
81,Male,Brand 3
82,Male,Brand 1
83,Male,Brand 3
84,Female,Brand 3
85,Male,Brand 2
86,Male,Brand 1
87,Female,Brand 3
88,Male,Brand 3
89,Male,Brand 3
90,Female,Brand 3
91,Male,Brand 1
92,Male,Brand 3
93,Female,Brand 1
94,Male,Brand 3
95,Male,Brand 1
96,Male,Brand 1
97,Male,Brand 3
98,Female,Brand 3
99,Male,Brand 2
100,Female,Brand 1
