x0,n_review,avg_rating,log(quantity),quantity,,,,,,,,,,,,,,,,,,,,,,,,
1,11481,5.00,4.72,53075,,,,,,,,,,,,,,,,,,,,,,,,
1,11481,5.00,4.72,53075,,,,,,,,,,,,,,,,,,,,,,,,
1,780,4.80,3.90,7929,,,,,,,,,,,,,,,,,,,,,,,,
1,3623,4.80,4.25,17896,,,,,,,,,,,,,,,,,,,,,,,,
1,5131,5.00,4.39,24668,,,,,,,,,,,,,,,,,,,,,,,,
1,1636,4.80,4.00,10000,,,,,,,,,,,,,,,,,,,,,,,,
1,3791,4.80,4.40,25272,,,,,,,,,,,,,,,,,,,,,,,,
1,785,4.80,3.91,8152,,,,,,,,,,,,,,,,,,,,,,,,
1,1544,4.80,3.86,7166,,,,,,,,,,,,,,,,,,,,,,,,
1,1636,4.80,4.00,10000,,,,,,,,,,,,,,,,,,,,,,,,
1,3623,4.80,4.25,17896,,,,,,,,,,,,,,,,,,,,,,,,
1,604,4.80,3.67,4630,,,,,,,,,,,,,,,,,,,,,,,,
1,327,4.80,3.60,3980,,,,,,,,,,,,,,,,,,,,,,,,
1,3431,4.80,4.52,33316,,,,,,,,,,,,,,,,,,,,,,,,
1,2990,4.80,4.40,25230,,,,,,,,,,,,,,,,,,,,,,,,
1,14,4.60,2.21,164,,,,,,,,,,,,,,,,,,,,,,,,
1,3033,4.80,4.23,17175,,,,,,,,,,,,,,,,,,,,,,,,
1,4863,4.80,4.31,20322,,,,,,,,,,,,,,,,,,,,,,,,
1,3180,4.80,4.14,13802,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,5.00,3.98,9627,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.00,0.85,7,,,,,,,,,,,,,,,,,,,,,,,,
1,648,4.80,3.67,4654,,,,,,,,,,,,,,,,,,,,,,,,
1,3011,4.80,4.32,20669,,,,,,,,,,,,,,,,,,,,,,,,
1,2603,4.80,4.08,12009,,,,,,,,,,,,,,,,,,,,,,,,
1,3702,4.80,4.65,44869,,,,,,,,,,,,,,,,,,,,,,,,
1,5131,5.00,4.39,24668,,,,,,,,,,,,,,,,,,,,,,,,
1,1829,5.00,4.26,18288,,,,,,,,,,,,,,,,,,,,,,,,
1,4712,4.80,4.39,24563,,,,,,,,,,,,,,,,,,,,,,,,
1,553,4.80,3.36,2274,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.00,1.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11481,11481,780.00,3623.00,5131,1636,3791,785,1544,1636,3623,604,327,3431,2990,14,3033,4863,3180,2013,0,648,3011,2603,3702,5131,1829,4712,553
5,5,4.80,4.80,5,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.6,4.8,4.8,4.8,5,0,4.8,4.8,4.8,4.8,5,5,4.8,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,88155,135.40,,,,,,,,,,,,,,,,,,,,,,,,,,
88155,489883197,430554.40,,,,,,,,,,,,,,,,,,,,,,,,,,
135.4,430554,655.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.993082897,0,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
4.07168E-06,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.207964128,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.216E-06,0,0.00,0.01,-0.025845954,0.00151635,0.010290821,-0.00194865,0.001141755,0.00151635,0.009606778,-0.002685624,-0.00381348,0.008825016,0.007029405,0.03650491,0.007204487,0.014655662,0.007803024,-0.038541453,0.993082897,-0.002506471,0.00711491,0.005453664,0.009928441,-0.025845954,-0.039290642,0.014040838,-0.00289328
3.9612E-05,0,0.00,0.00,8.80964E-06,-7.33775E-06,3.11566E-06,-1.14658E-05,-7.78402E-06,-7.33775E-06,2.30073E-06,-1.23437E-05,-1.36874E-05,1.36938E-06,-7.69806E-07,-1.43996E-05,-5.61223E-07,8.31569E-06,1.5184E-07,-6.31506E-06,4.07168E-06,-1.21303E-05,-6.6794E-07,-2.64705E-06,2.68394E-06,8.80964E-06,-7.20761E-06,7.58322E-06,-1.25911E-05
-0.018406692,0,0.02,0.00,0.007185516,0.011838148,0.003152918,0.015267907,0.012208933,0.011838148,0.003830003,0.015997385,0.01711377,0.004603815,0.006381164,0.008942086,0.006207862,-0.00116753,0.005615412,0.019751895,-0.207964128,0.015820054,0.006296528,0.007940878,0.003511612,0.007185516,0.020493464,-0.00055896,0.016202929
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.815521306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000110009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606352019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
