province,rain,cloud,date
Hanoi,0,80,1/2/2020
Hanoi,0,81,1/3/2020
Hanoi,0,74,1/4/2020
Hanoi,0,86,1/5/2020
Hanoi,0,57,1/6/2020
Hanoi,0,71,1/7/2020
Hanoi,0,61,1/8/2020
Hanoi,0,67,1/9/2020
Hanoi,1,28,1/10/2020
Hanoi,0,54,1/11/2020
Hanoi,0,95,1/12/2020
Hanoi,0,88,1/13/2020
Hanoi,0,81,1/14/2020
Hanoi,1,73,1/15/2020
Hanoi,0,78,1/16/2020
Hanoi,0,99,1/17/2020
Hanoi,0,97,1/18/2020
Hanoi,0,100,1/19/2020
Hanoi,1,99,1/20/2020
Hanoi,1,66,1/21/2020
Hanoi,0,74,1/22/2020
Hanoi,0,83,1/23/2020
Hanoi,0,90,1/24/2020
Hanoi,0,92,1/25/2020
Hanoi,0,82,1/26/2020
Hanoi,0,94,1/27/2020
Hanoi,0,94,1/28/2020
Hanoi,0,95,1/29/2020
Hanoi,1,45,1/30/2020
Hanoi,1,60,1/31/2020
Hanoi,0,98,2/1/2020
Hanoi,0,84,2/2/2020
Hanoi,0,84,2/3/2020
Hanoi,0,89,2/4/2020
Hanoi,0,97,2/5/2020
Hanoi,0,75,2/6/2020
Hanoi,0,83,2/7/2020
Hanoi,0,93,2/8/2020
Hanoi,0,100,2/9/2020
Hanoi,1,95,2/10/2020
Hanoi,0,99,2/11/2020
Hanoi,0,95,2/12/2020
Hanoi,0,81,2/13/2020
Hanoi,0,70,2/14/2020
Hanoi,1,73,2/15/2020
Hanoi,1,60,2/16/2020
Hanoi,1,49,2/17/2020
Hanoi,1,41,2/18/2020
Hanoi,1,74,2/19/2020
Hanoi,0,99,2/20/2020
Hanoi,0,87,2/21/2020
Hanoi,1,30,2/22/2020
Hanoi,1,9,2/23/2020
Hanoi,0,55,2/24/2020
Hanoi,1,29,2/25/2020
Hanoi,0,40,2/26/2020
Hanoi,0,54,2/27/2020
Hanoi,0,66,2/28/2020
Hanoi,0,69,3/1/2020
Hanoi,0,71,3/2/2020
Hanoi,0,70,3/3/2020
Hanoi,0,89,3/4/2020
Hanoi,0,99,3/5/2020
Hanoi,1,77,3/6/2020
Hanoi,1,71,3/7/2020
Hanoi,1,48,3/8/2020
Hanoi,1,33,3/9/2020
Hanoi,1,69,3/10/2020
Hanoi,1,82,3/11/2020
Hanoi,1,82,3/12/2020
Hanoi,1,81,3/13/2020
Hanoi,0,86,3/14/2020
Hanoi,0,97,3/15/2020
Hanoi,0,96,3/16/2020
Hanoi,0,89,3/17/2020
Hanoi,0,87,3/18/2020
Hanoi,0,99,3/19/2020
Hanoi,0,94,3/20/2020
Hanoi,0,76,3/21/2020
Hanoi,0,78,3/22/2020
Hanoi,0,60,3/23/2020
Hanoi,0,59,3/24/2020
Hanoi,0,79,3/25/2020
Hanoi,0,72,3/26/2020
Hanoi,0,82,3/27/2020
Hanoi,0,76,3/28/2020
Hanoi,0,78,3/29/2020
Hanoi,0,86,3/30/2020
Hanoi,0,85,3/31/2020
Hanoi,0,87,4/1/2020
Hanoi,0,81,4/2/2020
Hanoi,0,80,4/3/2020
Hanoi,0,85,4/4/2020
Hanoi,0,100,4/5/2020
Hanoi,0,98,4/6/2020
Hanoi,0,99,4/7/2020
Hanoi,0,85,4/8/2020
Hanoi,0,79,4/9/2020
Hanoi,0,80,4/10/2020
Hanoi,0,73,4/11/2020
Hanoi,0,61,4/12/2020
Hanoi,0,48,4/13/2020
Hanoi,0,41,4/14/2020
Hanoi,1,30,4/15/2020
Hanoi,0,82,4/16/2020
Hanoi,0,88,4/17/2020
Hanoi,0,91,4/18/2020
Hanoi,0,75,4/19/2020
Hanoi,0,74,4/20/2020
Hanoi,0,79,4/21/2020
Hanoi,0,91,4/22/2020
Hanoi,0,88,4/23/2020
Hanoi,0,100,4/24/2020
Hanoi,0,96,4/25/2020
Hanoi,0,78,4/26/2020
Hanoi,1,33,4/27/2020
Hanoi,1,6,4/28/2020
Hanoi,1,40,4/29/2020
Hanoi,1,63,4/30/2020
Hanoi,0,81,5/1/2020
Hanoi,0,75,5/2/2020
Hanoi,0,78,5/3/2020
Hanoi,0,73,5/4/2020
Hanoi,1,39,5/5/2020
Hanoi,1,21,5/6/2020
Hanoi,1,15,5/7/2020
Hanoi,0,29,5/8/2020
Hanoi,0,35,5/9/2020
Hanoi,0,39,5/10/2020
Hanoi,0,54,5/11/2020
Hanoi,0,74,5/12/2020
Hanoi,0,64,5/13/2020
Hanoi,0,43,5/14/2020
Hanoi,0,77,5/15/2020
Hanoi,0,68,5/16/2020
Hanoi,0,74,5/17/2020
Hanoi,0,70,5/18/2020
Hanoi,0,74,5/19/2020
Hanoi,0,50,5/20/2020
Hanoi,1,14,5/21/2020
Hanoi,0,58,5/22/2020
Hanoi,0,79,5/23/2020
Hanoi,0,59,5/24/2020
Hanoi,0,60,5/25/2020
Hanoi,0,65,5/26/2020
Hanoi,0,72,5/27/2020
Hanoi,0,73,5/28/2020
Hanoi,0,63,5/29/2020
Hanoi,0,70,5/30/2020
Hanoi,0,36,5/31/2020
Hanoi,0,35,6/1/2020
Hanoi,0,39,6/2/2020
Hanoi,0,38,6/3/2020
Hanoi,0,37,6/4/2020
Hanoi,1,16,6/5/2020
Hanoi,0,41,6/6/2020
Hanoi,0,56,6/7/2020
Hanoi,0,40,6/8/2020
Hanoi,0,40,6/9/2020
Hanoi,0,48,6/10/2020
Hanoi,0,43,6/11/2020
Hanoi,0,53,6/12/2020
Hanoi,0,75,6/13/2020
Hanoi,0,68,6/14/2020
Hanoi,0,71,6/15/2020
Hanoi,0,85,6/16/2020
Hanoi,0,40,6/17/2020
Hanoi,0,39,6/18/2020
Hanoi,0,47,6/19/2020
Hanoi,0,48,6/20/2020
Hanoi,0,37,6/21/2020
Hanoi,1,14,6/22/2020
Hanoi,0,46,6/23/2020
Hanoi,1,22,6/24/2020
Hanoi,0,38,6/25/2020
Hanoi,0,42,6/26/2020
Hanoi,1,21,6/27/2020
Hanoi,0,26,6/28/2020
Hanoi,0,42,6/29/2020
Hanoi,0,50,6/30/2020
